,Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,res_split1,residence_history_in mnths,employment_length_in mnths,purpose_grped,GBFlag,job_grped,credit_history_grped,Age_grped,residence_history_in mnths_grped,employment_length_in mnths_grped,savings_balance_grped,months_loan_duration_grped,checking_balance_grped
521,521,-39.0,18,repaid,radio/tv,3190,89.0,2 years,2,single,none,0 months,real estate,24,none,own,1,1,1,,yes,skilled employee,female,0.0,0.0,24.0,domestic appliance,Bad,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[31.0, 155.0)","[16, 19)","[-inf, -15.0)"
737,737,-8.0,18,repaid,car (new),4380,157.0,2 years,3,single,none,18 years,other,35,none,own,1,0,2,2342986272.0,yes,unskilled resident,male,18.0,216.0,24.0,Car,Good,unskilled resident,delayed/repaid,"[34, 40)","[132.0, 240.0)","[3.0, 24.0)","[155.0, inf)","[16, 19)","[-15.0, 0.0)"
740,740,-20.0,24,fully repaid this bank,car (new),2325,436.0,5 years,2,single,none,4 years,other,32,bank,own,1,0,1,,yes,skilled employee,male,4.0,48.0,60.0,Car,Good,skilled employee,fully repaid,"[24, 34)","[2.0, 132.0)","[36.0, 84.0)","[155.0, inf)","[19, 31)","[-inf, -15.0)"
660,660,925.0,12,repaid,radio/tv,1297,11.0,1 years,3,married,none,14 years,real estate,23,none,rent,1,0,1,,yes,skilled employee,male,14.0,168.0,12.0,domestic appliance,Good,skilled employee,delayed/repaid,"[18, 24)","[132.0, 240.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[102.0, inf)"
411,411,0.0,33,critical,car (used),7253,36.0,4 years,3,single,none,1 months,other,35,none,own,2,0,1,2349994320.0,yes,mangement self-employed,male,1.0,1.0,48.0,Car,Good,Others,critical,"[34, 40)","[-inf, 2.0)","[36.0, 84.0)","[31.0, 155.0)","[31, 37)","[-15.0, 0.0)"
678,678,-11.0,24,repaid,radio/tv,2384,61.0,11 years,4,single,none,23 years,real estate,64,bank,rent,1,0,1,,yes,unskilled resident,male,23.0,276.0,132.0,domestic appliance,Good,unskilled resident,delayed/repaid,"[53, 76)","[240.0, inf)","[84.0, inf)","[31.0, 155.0)","[19, 31)","[-15.0, 0.0)"
626,626,926.0,6,repaid,furniture,2116,34.0,1 years,2,single,none,9 months,real estate,41,none,own,1,0,1,2343568152.0,yes,skilled employee,male,9.0,9.0,12.0,furniture,Good,skilled employee,delayed/repaid,"[40, 45)","[2.0, 132.0)","[3.0, 24.0)","[31.0, 155.0)","[3, 10)","[102.0, inf)"
513,513,108.0,12,delayed,radio/tv,585,30.0,2 years,4,married,co-applicant,12 years,real estate,20,none,rent,2,0,1,,yes,skilled employee,male,12.0,144.0,24.0,domestic appliance,Good,skilled employee,delayed/repaid,"[18, 24)","[132.0, 240.0)","[3.0, 24.0)","[1.0, 31.0)","[10, 16)","[102.0, inf)"
859,859,0.0,9,repaid,car (new),3577,303.0,3 years,1,single,guarantor,2 months,real estate,26,none,rent,1,0,2,,no,skilled employee,male,2.0,2.0,36.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[24.0, 36.0)","[155.0, inf)","[3, 10)","[-15.0, 0.0)"
136,136,0.0,27,delayed,car (used),8613,18077.0,1 years,2,single,none,1 months,other,27,none,own,2,0,1,,yes,skilled employee,male,1.0,1.0,12.0,Car,Good,skilled employee,delayed/repaid,"[24, 34)","[-inf, 2.0)","[3.0, 24.0)","[155.0, inf)","[19, 31)","[-15.0, 0.0)"
